Nom,Adresse,Code Postal,Ville,Téléphone,Site Web,Ligne de Métro,URL d'origine
My Cowork : Espace de coworking à Paris (75002),"54 rue Greneta, 75002 Paris",75002,Paris,01 85 09 08 29,http://mycowork.fr/,Métro Sentier (ligne 3),https://www.leportagesalarial.com/coworking/my-cowork-espace-coworking-paris-75002/
Le 10h10 : Espace de coworking à Paris (75003),"210 rue Saint-Martin, 75003 Paris",75003,Paris,01 44 49 92 59,http://www.le10h10.com/fr/coworking-cafe/,"Métro Etienne Marcel (Ligne 4), et Rambuteau (Ligne 11)",https://www.leportagesalarial.com/coworking/le-10h10-espace-coworking-paris-75003/
Hubsy : Espace de coworking à Paris (75003),"41 Rue Réaumur, 75003 Paris",75003,Paris,01 43 56 89 80,https://www.hubsy.fr/,Métro Arts et Métiers (ligne 3),https://www.leportagesalarial.com/coworking/hubsy-espace-coworking-paris-75003/
The Office : Espace de coworking à Paris (75005),"19 rue Claude Bernard, 75 005 Paris",,,06 60 77 02 41,https://www.theoffice-paris.com/,Métro Censier – Daubenton (Ligne 7) ou Port-Royal (RER B),https://www.leportagesalarial.com/coworking/the-office-espace-coworking-paris-75005/
Mozaik Coworking : Espace de coworking à Paris (75009),"41 Rue de la Chaussée d’Antin, 75009 Paris",75009,Paris,06 42 63 79 34,http://www.mozaik-coworking.com/,"Métro Chaussée d’Antin la Fayette (Lignes 7 et 9), Trinité d’Estienne d’Orves (Ligne 12), et Haussmann – Saint-Lazare (RER A, lignes 3, 9, 12, 13 et 14)",https://www.leportagesalarial.com/coworking/mozaik-coworking-espace-coworking-paris-75009/
BGE PaRIF : Espace de coworking à Paris (75011),"18 Rue du Faubourg du Temple, 75011 Paris",75011,Paris,01 43 55 09 48,http://www.bge-parif.com/sites/bge/accueil/le-coworking.html,"Métro République (lignes 3, 5, 8, 9 et 11)",https://www.leportagesalarial.com/coworking/bge-parif-espace-coworking-paris-75011/
Cool and Workers : Espace de coworking à Paris (75011),"30-34 rue du Chemin Vert 75011, Paris",,,01 80 88 48 28,https://www.coolandworkers.com/,Métro Voltaire (Ligne 9) et Bréguet-Sabin (Ligne 5).,https://www.leportagesalarial.com/coworking/cool-and-workers-espace-coworking-paris-75011/
Greenspace Paris : Espace de coworking à Paris (75011),"28 rue du Chemin Vert, 75 011 Paris",,,01 43 38 14 51,http://greenspace-paris.com,"Métro Richard-Lenoir ou Bréguet-Sabin (Ligne 5), St-Ambroise (Ligne 9) ou Chemin Vert (Ligne 8)",https://www.leportagesalarial.com/coworking/greenspace-paris-espace-coworking-paris-75011/
Le Tank : Espace de coworking à Paris (75011),"22 bis rue des Taillandiers, 75011 Paris",75011,Paris,01 43 14 71 23,https://letank.fr/,Métro Bréguet-Sabin (ligne 5),https://www.leportagesalarial.com/coworking/le-tank-espace-coworking-paris-75011/
PLANET COWORKING : Espaces de coworking à Paris (75011) Le Conan Doyle (75011) La Popina (75011),"119 rue du Chemin Vert, 75011 Paris",75011,Paris,07 64 50 05 55,http://www.planet-coworking.com,Métro Rue Saint-Maur (ligne 3),https://www.leportagesalarial.com/coworking/planet-coworking-espace-coworking-paris-75011/
